mass, year, reclat, reclong
1630, 1908, -7.000000, 115.500000
400, 1897, 32.083330, 76.300000
11355, 1942, 4.700000, 33.633330
1600, 2004, 20.339160, 73.223290
3500, 1937, 42.450000, 73.366670
3000, 1840, 47.216670, 81.016670
2220, 1963, -3.500000, 35.583330
180, 1949, 12.900000, 7.150000
22000, 1905, 27.800000, 67.166670
2950, 1955, 31.583330, 71.600000
41730, 1930, -35.083330, 139.916670
710, 1938, 35.366670, 136.766670
16820, 2003, 29.583330, 77.583330
1500, 1999, 11.333330, 10.083330
6800, 2006, 25.143330, 75.813330
85000, 1961, 39.263330, 31.780000
3300, 1940, -7.750000, 112.016670
5760, 2008, 36.541940, 29.418220
6937, 1939, 29.450000, -96.000000
6669.2, 2003, 20.462500, 86.702780
5000, 1874, 48.400000, -3.300000
80000, 1869, 48.116670, -3.083330
135000, 1850, 38.983330, 141.616670
13600, 1873, 29.533330, 72.300000
3698, 1932, 25.550000, 83.116670
1500, 1787, 50.625000, 35.075000
450, 1860, 26.950000, 77.883330
100, 1867, 28.016670, 75.816670
6109, 1929, 56.750000, 75.333330
9700, 1910, 25.100000, 81.533330
3200, 1932, 16.000000, 36.000000
100000, 1983, 14.000000, 28.000000
737.6, 1962, 54.400000, 10.150000
1500, 1970, 16.583330, -11.333330
331, 1906, 36.850000, 138.383330
195, 1809, 55.000000, 34.000000
19000, 2002, 12.766670, 9.800000
772, 1911, 43.583330, -89.600000
140, 1844, 54.666670, -7.666670
67.400000000000006, 1967, 11.633330, 24.683330
97.7, 1906, 30.750000, -95.950000
1550, 1914, 48.166670, 22.308330
202.6, 1998, 43.383330, -80.383330
3250, 1843, 51.600000, 10.800000
500000, 1866, 48.900000, 22.400000
136, 1999, 34.733330, 135.166670
11510, 1986, 34.300000, 133.950000
238, 1926, 35.733330, 139.750000
90, 1931, 42.516670, 26.166670
4300, 2010, 48.763670, 21.176330
16500, 1869, 49.326940, 7.464720
2440, 1829, 54.033330, 40.900000
4000, 1946, 54.333330, 56.083330
845.2, 1906, 56.800000, 77.000000
50000, 1946, 47.833330, 30.766670
2250, 1938, 51.150000, 31.700000
453.6, 1961, 30.731110, 66.802220
6000, 1811, 50.750000, 33.500000
3719, 1906, 41.116670, 45.000000
200000, 1949, 55.783330, 61.366670
1100000, 1998, 42.250000, 59.200000
4460, 1920, 37.050000, 138.383330
5, 1860, 29.683330, 78.383330
23, 1977, 44.516670, 39.300000
45000, 1914, 10.833330, 76.033330
4047, 1932, 55.200000, 75.333330
45000, 1886, 32.033330, 130.633330
2800, 1879, 47.083330, 1.750000
399, 1878, 20.666670, -101.283330
2000, 1924, -37.333330, -61.533330
45000, 1985, -31.233330, -58.166670
3833, 1871, 44.283330, 5.583330
900, 1955, 26.783330, 82.716670
37000, 1803, 48.766670, 0.633330
212.5, 1910, 21.866670, 76.033330
372, 1887, 24.450000, 78.566670
51700, 1872, 47.700000, 1.066670
7000, 1897, 43.750000, 5.116670
2300, 1947, 58.850000, 16.733330
1282, 1986, 46.241670, 126.196110
7000, 1925, 47.750000, 16.233330
14250, 1987, 33.133330, 115.166670
1060, 1830, 51.900000, -1.116670
800, 1938, 52.450000, 51.566670
3000, 1845, 47.166670, 0.433330
780, 1845, 48.533330, -0.866670
51500, 1943, 35.883330, -99.333330
460, 1912, -25.666670, 28.366670
271.39999999999998, 1999, 52.666670, -6.966670
877, 1907, 34.583330, -87.500000
700, 1900, 52.266670, 32.850000
125, 1857, 48.350000, 3.250000
2000, 1896, 50.366670, 4.733330
4000, 1973, -26.150000, 26.183330
6862, 1930, 56.650000, 15.866670
50000, 1813, 52.566670, -8.783330
1862, 1854, 52.750000, 12.900000
498, 1978, 31.633330, 118.983330
12800, 1808, 50.200000, 14.850000
491, 1839, 37.916670, -92.083330
5213, 1820, 56.000000, 26.433330
1000, 1868, 29.533330, 71.800000
40000, 1994, 26.965560, 72.626670
329.7, 2010, 38.700660, -77.211630
25, 1894, 38.000000, -0.833330
17000, 1970, 36.008330, -95.150000
1300, 1977, 38.250000, -85.750000
59000, 1935, 52.000000, 19.916670
9241, 1926, 24.950000, 75.150000
3500, 1768, 47.850000, 0.483330
340, 1869, 32.033330, -84.766670
2520, 1980, 24.800000, 103.300000
11000, 1889, 56.216670, 13.033330
885, 1813, 61.200000, 27.700000
14000, 1753, 46.216670, 5.000000
, 1951, -7.216670, 29.433330
540, 1937, 19.000000, 97.000000
1500, 1836, -5.200000, -36.666670
93200, 1981, -15.212220, 35.242220
1995, 1936, -28.833330, 31.950000
1000, 1950, 25.916670, 86.366670
400, 1935, -7.750000, 111.533330
400, 1896, 40.416670, -3.716670
600, 1941, -26.166670, -49.933330
5000, 1899, 37.866670, 27.516670
666.6, 1990, -19.483330, 31.650000
70500, 2007, 27.666670, 95.783330
4629, 2004, 12.833330, 9.383330
150, 1933, 32.216670, -104.000000
2000, 1970, 9.500000, 31.750000
470, 1930, -3.133330, 33.516670
, 1931, -28.933330, -63.233330
807, 1933, -29.450000, 26.766670
1000, 1927, 45.216670, 62.083330
1700, 1863, 23.050000, 86.700000
50, 1843, 20.966670, 76.100000
22300, 1934, -17.650000, 31.600000
3555, 1951, 45.816670, 44.633330
4500, 1948, 34.233330, 72.083330
114, 1925, , 
340, 1898, 42.716670, -99.383330
25.81, 2009, 54.761830, 11.467450
3200, 1941, 4.666670, 29.250000
2500, 1971, -22.250000, -49.933330
28400, 1847, 41.900000, -91.600000
45000, 1902, 61.500000, 30.500000
3000, 1848, 44.500000, 0.150000
6000, 2002, -14.200000, 48.100000
1443, 1983, 35.800000, -84.100000
1000, 1836, 45.366670, 1.866670
24.54, 2010, 0.000000, 0.000000
1600, 1803, 48.133330, 12.616670
19000, 1768, 48.183330, 13.133330
220, 1801, -20.000000, 57.000000
4850, 1974, 8.966670, 12.083330
4000, 1885, 24.683330, -101.683330
4975, 1942, -1.216670, 30.000000
150000, 1992, 1.066670, 34.166670
31, 1953, -27.250000, -67.500000
22, 1861, 29.016670, 77.800000
24750, 1915, -6.233330, 106.883330
10500, 1862, 53.183330, 13.150000
28.9, 1903, 46.818670, 7.218170
4000, 1878, 55.050000, 12.066670
6000, 1945, 0.000000, 37.666670
71400, 1920, 25.483330, 81.983330
2405, 1955, 38.183330, 15.566670
870, 1897, 50.583330, 11.100000
