year,GeoLocation
1887,"(24.450000, 78.566670)"
1872,"(47.700000, 1.066670)"
1897,"(43.750000, 5.116670)"
1947,"(58.850000, 16.733330)"
1986,"(46.241670, 126.196110)"
1925,"(47.750000, 16.233330)"
1987,"(33.133330, 115.166670)"
1830,"(51.900000, -1.116670)"
1938,"(52.450000, 51.566670)"
1845,"(47.166670, 0.433330)"
1845,"(48.533330, -0.866670)"
1943,"(35.883330, -99.333330)"
1912,"(-25.666670, 28.366670)"
1999,"(52.666670, -6.966670)"
1907,"(34.583330, -87.500000)"
1900,"(52.266670, 32.850000)"
1857,"(48.350000, 3.250000)"
1896,"(50.366670, 4.733330)"
1973,"(-26.150000, 26.183330)"
1930,"(56.650000, 15.866670)"
1813,"(52.566670, -8.783330)"
1854,"(52.750000, 12.900000)"
1978,"(31.633330, 118.983330)"
1808,"(50.200000, 14.850000)"
1839,"(37.916670, -92.083330)"
1820,"(56.000000, 26.433330)"
1868,"(29.533330, 71.800000)"
1994,"(26.965560, 72.626670)"
2010,"(38.700660, -77.211630)"
1894,"(38.000000, -0.833330)"
1970,"(36.008330, -95.150000)"
1977,"(38.250000, -85.750000)"
1935,"(52.000000, 19.916670)"
1926,"(24.950000, 75.150000)"
1768,"(47.850000, 0.483330)"
1869,"(32.033330, -84.766670)"
1980,"(24.800000, 103.300000)"
1889,"(56.216670, 13.033330)"
1813,"(61.200000, 27.700000)"
1753,"(46.216670, 5.000000)"
1951,"(-7.216670, 29.433330)"
1937,"(19.000000, 97.000000)"
1836,"(-5.200000, -36.666670)"
1981,"(-15.212220, 35.242220)"
1936,"(-28.833330, 31.950000)"
1950,"(25.916670, 86.366670)"
1935,"(-7.750000, 111.533330)"
1896,"(40.416670, -3.716670)"
1941,"(-26.166670, -49.933330)"
Fell,27.516670,"(37.866670
1990,"(-19.483330, 31.650000)"
2007,"(27.666670, 95.783330)"
2004,"(12.833330, 9.383330)"
1933,"(32.216670, -104.000000)"
1970,"(9.500000, 31.750000)"
1930,"(-3.133330, 33.516670)"
1931,"(-28.933330, -63.233330)"
1933,"(-29.450000, 26.766670)"
1927,"(45.216670, 62.083330)"
1863,"(23.050000, 86.700000)"
1843,"(20.966670, 76.100000)"
1934,"(-17.650000, 31.600000)"
1951,"(45.816670, 44.633330)"
1948,"(34.233330, 72.083330)"
1925,
1898,"(42.716670, -99.383330)"
2009,"(54.761830, 11.467450)"
1941,"(4.666670, 29.250000)"
1971,"(-22.250000, -49.933330)"
1847,"(41.900000, -91.600000)"
Fell,30.500000,"(61.500000
1848,"(44.500000, 0.150000)"
2002,"(-14.200000, 48.100000)"
1983,"(35.800000, -84.100000)"
1836,"(45.366670, 1.866670)"
2010,"(0.000000, 0.000000)"
1803,"(48.133330, 12.616670)"
1768,"(48.183330, 13.133330)"
1801,"(-20.000000, 57.000000)"
1974,"(8.966670, 12.083330)"
Fell,-101.683330,"(24.683330
1942,"(-1.216670, 30.000000)"
1992,"(1.066670, 34.166670)"
1953,"(-27.250000, -67.500000)"
1861,"(29.016670, 77.800000)"
1915,"(-6.233330, 106.883330)"
1862,"(53.183330, 13.150000)"
1903,"(46.818670, 7.218170)"
1878,"(55.050000, 12.066670)"
1945,"(0.000000, 37.666670)"
1920,"(25.483330, 81.983330)"
1955,"(38.183330, 15.566670)"
1897,"(50.583330, 11.100000)"
1949,"(45.766670, 3.250000)"
